cvegeo_child,name_child,cvegeo_parent,name_parent,year_created,verified,source_note
17034,Coatetelco,17015,Miacatlan,2017,True,"Morelos decree 2017; codes+names verified against INEGI ITER 2020 (conjunto_de_datos_iter_00CSV20.csv, checked 2026-07-21). ITER: 17034=Coatetelco (pop 11,347), 17015=Miacatlan (pop 15,802)."
17035,Xoxocotla,17017,Puente de Ixtla,2017,True,"Morelos decree 2017; codes+names verified against INEGI ITER 2020 (conjunto_de_datos_iter_00CSV20.csv, checked 2026-07-21). ITER: 17035=Xoxocotla (pop 27,805), 17017=Puente de Ixtla (pop 40,018). NOTE 17020 is Tepoztlan, NOT Puente de Ixtla -- an earlier version of this row had that wrong."
17036,Hueyapan,17022,Tetela del Volcan,2017,True,"Morelos decree 2017; codes+names verified against INEGI ITER 2020 (conjunto_de_datos_iter_00CSV20.csv, checked 2026-07-21). ITER: 17036=Hueyapan (pop 7,855), 17022=Tetela del Volcan (pop 14,853). NOTE 17026 is Tlayacapan, NOT Tetela del Volcan -- an earlier version of this row had that wrong."
23011,Puerto Morelos,23005,Benito Juarez,2016,True,"Quintana Roo decree 2016; codes+names verified against INEGI ITER 2020 (conjunto_de_datos_iter_00CSV20.csv, checked 2026-07-21). ITER: 23011=Puerto Morelos, 23005=Benito Juarez."
02006,San Quintin,02001,Ensenada,2020,True,"Baja California decree 2020; codes+names verified against INEGI ITER 2020 (conjunto_de_datos_iter_00CSV20.csv, checked 2026-07-21). ITER: 02006=San Quintin, 02001=Ensenada. BC has exactly 6 municipalities in 2020; San Felipe is absent."
02007,San Felipe,02002,Mexicali,2021,True,"post-2020 creation, needed only for a newer geometry edition. Parent derived by point-in-polygon of ITER 2020 localities: 99 localities / 19,741 people from 02002 Mexicali (97.1%), 83 localities / 582 people from 02001 Ensenada (2.9%). Assigned to Mexicali. CAVEAT: the Ensenada remainder may be a genuine second donor rather than coordinate imprecision; if so, folding San Felipe wholly into Mexicali leaves Mexicali marginally too large and Ensenada marginally too small."
04013,Dzitbalche,04001,Calkini,2021,True,"post-2020 creation. Parent derived by point-in-polygon: 28 ITER 2020 localities / 16,573 people, 100% from 04001 Calkini."
12082,Las Vigas,12053,San Marcos,2022,True,"post-2020 creation (Guerrero). Parent derived by point-in-polygon: 32 ITER 2020 localities / 9,942 people, 100% from 12053 San Marcos."
12083,Nuu Savi,12012,Ayutla de los Libres,2022,True,"post-2020 creation (Guerrero). Parent derived by point-in-polygon: 41 ITER 2020 localities / 11,143 people, 100% from 12012 Ayutla de los Libres."
12084,Santa Cruz del Rincon,12041,Malinaltepec,2022,True,"post-2020 creation (Guerrero). Parent derived by point-in-polygon: 16 ITER 2020 localities / 7,124 people, 100% from 12041 Malinaltepec."
12085,San Nicolas,12023,Cuajinicuilapa,2022,True,"post-2020 creation (Guerrero). Parent derived by point-in-polygon: 18 ITER 2020 localities / 7,011 people, 100% from 12023 Cuajinicuilapa."
04012,Seybaplaya,04004,Champoton,2019,True,"Campeche Decreto 44, P.O. 26/04/2019 (INEGI censo2020_cpv_nuevos_municipios_a.pdf lists donors 04002 Campeche + 04004 Champoton). Dominant donor verified empirically: all 2020 localities matched to ITER 2010 municipios by coordinates (<=1 km), 15,290/15,290 matched persons (100.0%) from Champoton."
07120,Capitan Luis Angel Vidal,07080,Siltepec,2017,True,"Chiapas Decreto 248, P.O. 316 06/09/2017; INEGI lists single donor 07080 Siltepec. ITER2010 locality match: 4,198/4,198 matched persons (100%) from Siltepec (97.3% of 2020 pop matched)."
07121,Rincon Chamula San Pedro,07072,Pueblo Nuevo Solistahuacan,2017,True,"Chiapas Decreto 248, P.O. 316 06/09/2017; INEGI lists donors Jitotol+Pueblo Nuevo Solistahuacan+Rayon+Tapilula. Dominant donor by ITER2010 locality match: 8,718/8,718 matched persons (100.0%) from Pueblo Nuevo Solistahuacan."
07122,El Parral,07107,Villa Corzo,2011,True,"Chiapas Decreto 008, P.O. 337 23/11/2011 (effective for the 2020 census; absent from the 2015 Intercensal universe); INEGI lists donors Villa Corzo+Villaflores. ITER2010 locality match: 15,448/15,450 matched persons (100.0%) from Villa Corzo."
07123,Emiliano Zapata,07002,Acala,2011,True,"Chiapas Decreto 008, P.O. 337 23/11/2011 (absent from the 2015 Intercensal universe); INEGI lists donors Acala+Chiapa de Corzo+Venustiano Carranza. ITER2010 locality match: 10,773/10,773 matched persons (100.0%) from Acala."
07124,Mezcalapa,07092,Tecpatan,2011,True,"Chiapas Decreto 008, P.O. 337 23/11/2011 (absent from the 2015 Intercensal universe); INEGI lists donors Ocozocoautla+Ostuacan+Tecpatan. ITER2010 locality match: 23,116/23,273 matched persons (99.3%) from Tecpatan; 157 (0.7%) from Ocozocoautla. Assigned wholly to Tecpatan; the Ocozocoautla remainder is a documented approximation."
07125,Honduras de la Sierra,07080,Siltepec,2019,True,"Chiapas Decreto 248 addendum, P.O. 055 11/09/2019; INEGI lists single donor 07080 Siltepec. ITER2010 locality match: 11,612/11,612 matched persons (100%) from Siltepec."
